t;x1;x2;x3;x4;x5
 2,8888889; 29,8866056; 53,4744879; 57,85379663; 77,7387334; 68,8344944
 3,0000000; 33,6935438; 76,6328860; 74,35365496; 78,9268921; 69,7839414
 3,1111111; 32,1882473; 55,5405096;107,67096744; 99,0350088; 73,7725648
 3,2222222; 32,3732790; 75,1050088; 88,21954437;110,8244330; 83,3454672
 3,3333333; 39,0279778; 81,5872617; 90,99873756;109,3275743;101,4379212
 3,4444444; 46,0214990; 83,6884950;130,68389038;119,0095048;106,8227283
 3,5555556; 45,3852134; 86,8125100;103,09342831;120,0707884;121,3203594
 3,6666667; 43,8104552;103,9686884;120,79124264;133,1675756;123,7410748
 3,7777778; 48,7229980;110,1060197;142,71320214;135,8069915;129,1978901
 3,8888889; 52,9914398;103,3074755;147,99558637;151,1826310;120,2901798
 4,0000000; 54,9253252;113,8004200;139,32573251;160,0925233;131,2587205
 4,1111111; 53,8633534;122,2089315;152,58465062;160,6265742;151,4776926
 4,2222222; 65,4236217;138,9665111;172,79398561;185,4155465;137,9451213
 4,3333333; 63,0740019;148,1509498;165,05815418;174,3571043;159,6041841
 4,4444444; 61,9633642;149,2336682;188,30963298;193,2533366;177,8485998
 4,5555556; 71,7435765;160,4416933;185,79252660;204,7970738;165,7484150
 4,6666667; 74,9196628;170,5496587;206,49843314;212,7455880;175,1231539
 4,7777778; 76,2531196;166,8525140;225,51732039;205,8259874;185,1466135
 4,8888889; 71,0485794;179,0372594;228,80036787;228,0404140;200,4210699
 5,0000000; 89,6719121;190,3343653;216,46022619;254,6068837;198,5339614
 5,1111111; 92,2924160;194,2907623;243,82823193;249,5659875;207,4878015
 5,2222222; 90,8199156;203,9629551;264,51802596;261,8682968;212,8737298
 5,3333333; 94,0663405;214,3948766;263,18684857;275,5193324;231,2739174
 5,4444444;102,6449012;219,3897615;283,81058150;295,6799264;233,4841204
 5,5555556;108,5069545;233,5908461;284,45391282;298,8053564;252,1935989
 5,6666667;114,3208615;241,2735991;300,64725374;311,3036031;270,9712338
 5,7777778;113,5449678;265,1144378;316,62846960;323,7011156;282,7032069
 5,8888889;112,3745377;261,3417087;327,51269424;335,0206702;283,2489658
 6,0000000;131,5646588;264,6225158;339,49024779;351,5005680;283,1899861
 6,1111111;126,1573261;271,5399878;364,52092878;373,8807528;323,7696962
 6,2222222;127,8334117;289,0100313;363,41116235;372,1758847;318,6886172
 6,3333333;134,1887137;291,6108724;370,33928231;395,3469107;334,2617739
 6,4444444;140,2820339;311,7739809;390,01163924;395,8376022;335,1415539
 6,5555556;148,5982495;318,9924223;401,04106730;430,3912110;362,1414325
 6,6666667;156,7714241;336,5184738;410,02785966;431,3252343;366,4324770
 6,7777778;164,4974591;344,9733349;425,75128137;445,1387404;385,1072107
 6,8888889;165,4557056;364,0973950;443,71977919;457,1840228;400,4448826
 7,0000000;168,1005483;356,1445853;457,60042663;483,9608609;406,9744474
 7,1111111;170,3047846;381,7059987;476,58545941;492,8056285;421,7951994
 7,2222222;177,5160733;387,4663218;486,89918819;507,1703295;440,4499241
 7,3333333;176,8012108;391,0122463;503,94307529;529,6367419;435,2271508
 7,4444444;190,6718072;409,2048840;514,14746591;545,2587471;459,3960607
 7,5555556;193,0522018;422,5343668;539,97381255;549,2403554;467,7578201
 7,6666667;205,3962975;438,6013373;557,93857106;582,2566836;489,6361993
 7,7777778;206,4555532;442,4728288;571,12912782;576,6308049;510,5527598
 7,8888889;218,3315571;458,6687376;572,45197961;597,9272686;527,1866607
 8,0000000;215,5978821;481,2509965;577,01779906;623,6685444;535,3457902
 8,1111111;221,4063333;498,7439240;615,11152225;633,9941394;536,5206151
 8,2222222;228,9866132;511,0131127;642,56004252;665,9510148;568,0831440
 8,3333333;238,6860833;523,6502509;644,97244358;679,8004796;567,4337164
 8,4444444;247,7000793;536,2152554;664,39363158;684,2464177;581,0168874
 8,5555556;248,3991813;547,7107509;667,70264444;714,5356159;613,0072064
 8,6666667;243,4746008;574,9259897;709,94814279;732,2911433;621,0570985
 8,7777778;259,4298295;583,1183927;724,85671119;744,9408805;645,4774330
 8,8888889;257,7216040;595,4996457;749,12143341;770,1711558;658,3566117
 9,0000000;274,2101583;610,7840237;748,86292905;797,4021589;687,0435703
 9,1111111;280,7432444;626,9584905;765,77847337;805,5821988;677,3479779
 9,2222222;290,2961872;637,1870226;792,73338925;830,0742949;707,3915830
 9,3333333;290,1474846;651,3945842;807,95806800;851,2228081;720,5146119
 9,4444444;305,4009320;674,0140304;833,32872022;861,3695821;751,3935139
 9,5555556;306,6846208;681,7239782;853,91179864;881,9192324;748,4693758
 9,6666667;315,5666847;704,1014920;873,21904968;920,2177787;771,8520327
 9,7777778;330,6924676;729,3930705;891,04088606;938,3458801;791,8500159
 9,8888889;329,5064731;733,5905974;912,71828324;954,8607157;820,9985351
10,0000000;338,9771037;755,7597066;948,49087121;972,2207586;843,0433332
